,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Ivey Business School,Western University,,,,,,,,,,,,2022-03-17T22:23:01.000Z,Thu Mar 17 22:23:01 +0000 2022,0,RT @iveybusiness : Ivey's Gerard Seijts joined @CBCOntarioToday to discuss Volodymyr Zelenskyy's leadership and leader character following Zelenskyy's speech to Canadian Parliament. @iveyleadership Listen here (begins at 8:13):,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,2,,,
Ontario Centre of Innovation (OCI),Western University,,,,,,,,,,,,2022-03-17T17:15:03.000Z,Thu Mar 17 17:15:03 +0000 2022,0,"RT @OCInnovation : Excited to join an incredible panel of experts next week to explore the innovation, ideas and technologies that contribute to food system sustainability! ?? 

Register here: https://t.co/zxVIfzhhXG

With presenting partners: @LondonEDC | @WesternU | @FanshaweCollege | @BresciaUC https://t.co/7s1d5ERHf3",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://www.ledc.com/event/building-sustainable-food-systems ,0,4,photo,https://pbs.twimg.com/media/FODhTAlXsAEwpkP.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-17T10:09:03.000Z,Thu Mar 17 10:09:03 +0000 2022,40,"Hey #WesternU! If you’re celebrating St. Patrick’s Day today, please consume responsibly. Take care of yourself, each other and your #LdnOnt community. https://t.co/YxKr6V3pDz",15,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FOCzSWQX0AY-4Wj.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-16T19:44:01.000Z,Wed Mar 16 19:44:01 +0000 2022,14,Physicist-turned-neuroscientist Andrea Soddu has developed unique brain-imaging software that is helping a #ldnont law firm strengthen the case for better support for clients with #concussions. #WesternU #acquiredbraininjury @BMI_WesternU @SiskindsLLP https://t.co/qU09bFsgBm,8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/neuroscientist-lawyer-partner-concussion-research/ ,4,2,,,
Western University,Western University,,,,,,,,,,,,2022-03-16T18:26:00.000Z,Wed Mar 16 18:26:00 +0000 2022,4,"Thinking about ""what's next?"" as you approach the end of your #WesternU undergraduate studies? 

Join @westernuCS virtual information session on Tuesday, March 22 to learn more about Marketing, PR, and Not-for-Profit Management Post-Degree Diploma programs. 
Register here:",3,en,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers.</a>",Tweet,,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-16T16:44:08.000Z,Wed Mar 16 16:44:08 +0000 2022,34,"If you’re going green tomorrow, take care of yourself, each other and your #LdnOnt community. ??

Be safe by sticking with your friends and consuming responsibly.
#WesternU https://t.co/Ij79fR40gC",28,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FN_EH-RXIAA5aRk.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-16T14:44:01.000Z,Wed Mar 16 14:44:01 +0000 2022,7,"Celebrating the 30th anniversary of #WesternU Peer Guide program, a powerful mentorship and peer support initiative that has helped thousands of international students thrive as they adjust to university life. @westernuIntl #community https://t.co/nSBg29NrjZ",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/mentor-program-key-for-thriving-international-students-grads/ ,2,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-16T00:56:01.000Z,Wed Mar 16 00:56:01 +0000 2022,15,"#WesternU grad Charity Kabango, co-founder and director of @es_partners shares her journey from engineer to 'entrepreneur serving entrepreneurs' in Africa. @westernuEng @huronatwestern @ckabango #Rwanda https://t.co/sIfcvTA6vW",9,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/charity-kabango-entrepreneur-serving-entrepreneurs/ ,2,4,,,
Western University,Western University,,,,,,,,,,,,2022-03-15T23:22:01.000Z,Tue Mar 15 23:22:01 +0000 2022,3,"#DYK that songbirds' fear of predators can reduce their reproductive rate and the survival rate of their offspring? #WesternU prof Liana Zanette joined @CBCQuirks to discuss her research. @westernuScience 
https://t.co/gh6xI64Vci",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.cbc.ca/listen/live-radio/1-51-quirks-and-quarks/clip/15900173-fear-predation-reduce-survival-rate-songbirds ,2,2,,,
Western Alumni,Western University,,,,,,,,,,,,2022-03-15T22:23:01.000Z,Tue Mar 15 22:23:01 +0000 2022,0,"RT @westernuAlumni : Have you got your copy of Long Bright River by @lizmoorebooks yet?  

The first session of the new Alumni Book Club runs March 18 - May 20. More than 700 #WesternU grads have already signed up to share their thoughts via the private forum, hosted by PBC Guru.",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-15T17:22:03.000Z,Tue Mar 15 17:22:03 +0000 2022,23,"Planning your St. Patrick’s Day?

Have fun and be sure to take care of yourself, your friends and your #WesternU and #LdnOnt community. 

We are all responsible for working together to create a safer community. https://t.co/7qegl26zgb",17,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FN6DNodWYAkWCpQ.jpg,
Morrissette Entrepreneurship,Western University,,,,,,,,,,,,2022-03-15T16:22:03.000Z,Tue Mar 15 16:22:03 +0000 2022,0,"RT @MorrissetteEntr : Still on the fence if our Entrepreneurial Summer Internship (ESI) is for you? 

?OUR PROGRAM PERKS ?
Mentorship, In-House Support, Co-Working Space, Weekly Programming &amp; Funding ($10,000 over the summer). 

So what are you waiting for?! Apply today at: https://t.co/FnvDGgxli0",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,http://entrepreneurship.uwo.ca ,0,0,,,
FacilitiesManagement,Western University,,,,,,,,,,,,2022-03-14T17:22:57.000Z,Mon Mar 14 17:22:57 +0000 2022,0,RT @westernuFM : Project milestone?? Come check out Weldon Library's mezzanine. The newly renovated floor features multimedia breakout rooms and collaborative study space. #WeldonRenovation #StudentSpace @WesternU https://t.co/5hE1tnA7Qr,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,1,photo,https://pbs.twimg.com/media/FN0udk1WUAAzSNi.jpg,
