,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
University of Toronto,University of Toronto,,,,,,,,,,23,,2022-03-21T18:01:07.000Z,Mon Mar 21 18:01:07 +0000 2022,46,"Calling it a 'natural fit,' #UofT librarian opts for familiar setting in debut mystery novel ?? https://t.co/43qPAiSFkO https://t.co/1qUiNxGjT8",6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7I0 ,1,0,photo,https://pbs.twimg.com/media/FOZC89NX0AEiuZG.jpg,https://pbs.twimg.com/media/FNfsAHiVIAE_npd.jpg
U of T Engineering,University of Toronto,,,,,,,,,,24,,2022-03-21T17:01:01.000Z,Mon Mar 21 17:01:01 +0000 2022,0,"RT @uoftengineering : Welcoming spring ??: As we approach the final weeks of the term, @UofTEngDean shares an update on recent campus updates, upcoming in-person events and helpful wellness resources for all ????: https://t.co/tpepOYpIJp https://t.co/PJICkkJG6x",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://uofteng.ca/UBfIVl ,0,1,photo,https://pbs.twimg.com/media/FOYj0M8XsAc-NyA.jpg,https://pbs.twimg.com/media/FNfzFTeVkAU4Tzm.jpg
University of Toronto,University of Toronto,,,,,,,,,,25,,2022-03-21T16:01:10.000Z,Mon Mar 21 16:01:10 +0000 2022,21,"Join @UofT_ARCDO for a series of programming this month, in recognition of #IDERD. The elimination of racial discrimination &amp; racism is an essential part of #UofT’s efforts to cultivate an equitable &amp; inclusive working &amp; learning environment. ??? https://t.co/KXWObOjpyw https://t.co/xumD03DMTZ",11,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/iderd22 ,2,1,photo,https://pbs.twimg.com/media/FOYmqo_XwAUYsX_.jpg,https://pbs.twimg.com/media/FNb7pIkUYAQ6TYa.jpg
University of Toronto Student Life,University of Toronto,,,,,,,,,,26,,2022-03-21T15:01:00.000Z,Mon Mar 21 15:01:00 +0000 2022,0,"RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Engineering &amp; Computer Science Library, Sandford Fleming Bldg, @uoftengineering, 11am-1pm
??Gerstein Library, @gersteinlibrary, 2-4pm
https://t.co/5EmBvWZlTC https://t.co/wASN9oKfhi",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://uoft.me/exam-ready ,2,2,photo,https://pbs.twimg.com/media/FOYENknWUAAHCBC.png,
University of Toronto,University of Toronto,,,,,,,,,,27,,2022-03-21T14:01:01.000Z,Mon Mar 21 14:01:01 +0000 2022,99,Ron Levi from the @MunkSchool &amp; @UofTArtSci has received the #UofT Global Educator Award for 2022 ?? https://t.co/AecnRTNtBU https://t.co/AlWn8QPaAX,9,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7HX ,1,2,photo,https://pbs.twimg.com/media/FOYHfscXIAUcQwK.jpg,
University of Toronto,University of Toronto,,,,,,,,,,28,,2022-03-18T21:01:22.000Z,Fri Mar 18 21:01:22 +0000 2022,24,New research from #UofT's @DonnellyCentre begins to unpick how sub-nuclear bodies contribute to gene regulation with the first large-scale survey of their RNA composition. ?? https://t.co/TntDeC3qES https://t.co/ELbB2AEAoZ,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7HC ,1,1,photo,https://pbs.twimg.com/media/FOKO4SfXEAMZmyb.jpg,https://pbs.twimg.com/media/FNadfbrX0AIYvmm.jpg
University of Toronto Student Life,University of Toronto,,,,,,,,,,29,,2022-03-18T20:02:13.000Z,Fri Mar 18 20:02:13 +0000 2022,0,"RT @UofTStudentLife : #ExamReadyUofT is back next week! Look out for our pop-up booths on campus and grab your free study kit, PLUS Facebook Live chats, and surprises ?? Details here: https://t.co/sbIjXYzHXH #UofT https://t.co/zjC89S21xK",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://uoft.me/examready ,2,0,photo,https://pbs.twimg.com/media/FOJbK3PXEC8iU8c.jpg,https://pbs.twimg.com/media/FNaqVC1VIAAXrEW.jpg
University of Toronto,University of Toronto,,,,,,,,,,30,,2022-03-18T19:05:42.000Z,Fri Mar 18 19:05:42 +0000 2022,13,'A golden age for makers': @UofTEngineering course reflects importance of hardware in today's smart devices #UofT ? https://t.co/Rb35MTNa5j https://t.co/XUyvrQoKX4,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7HA ,1,1,photo,https://pbs.twimg.com/media/FOJ3gSPWUAQxJ2h.jpg,https://pbs.twimg.com/media/FNWn5niUUAUBAL7.jpg
Mélanie Joly,University of Toronto,,,,,,,,,,31,,2022-03-18T18:16:40.000Z,Fri Mar 18 18:16:40 +0000 2022,0,"RT @melaniejoly : “Democracy is a choice, often a fight, and it takes work every day to preserve and protect it.  
 
Today the fight for democracy is in Ukraine but the threat extends around the world.""

@MunkSchool https://t.co/KMQS30k9Bc",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FOJquYYXMAcKPdx.jpg,https://pbs.twimg.com/media/FNWPpJHVgAobDCJ.jpg
University of Toronto Scarborough,University of Toronto,,,,,,,,,,32,,2022-03-18T18:01:01.000Z,Fri Mar 18 18:01:01 +0000 2022,0,"RT @UTSC : Wishing our #UTSC, #UofT and #ScarbTo communities celebrating today a colourful and happy Holi! ?? https://t.co/2mquAf7ZHa",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,,3,0,video,https://video.twimg.com/amplify_video/1504485521854111755/pl/CfF7SsBgk0n6d7_u.m3u8?tag=14&container=fmp4,https://pbs.twimg.com/media/FNVw4PuWYAM66aW.jpg
University of Toronto,University of Toronto,,,,,,,,,,33,,2022-03-18T17:01:01.000Z,Fri Mar 18 17:01:01 +0000 2022,30,"Urbanization is driving the evolution of plants around the world, @UTM study finds #UofT ?? https://t.co/sN6bq7DcWD https://t.co/ppaFI4G1Cw",5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Hx ,1,1,photo,https://pbs.twimg.com/media/FOJZydsWYAgSH_t.jpg,https://pbs.twimg.com/media/FNVoXQHXsAgHocI.jpg
Munk School,University of Toronto,,,,,,,,,,34,,2022-03-18T16:01:01.000Z,Fri Mar 18 16:01:01 +0000 2022,0,"RT @munkschool : Our online foreign policy discussion with @SteinJanice and The Hon. @melaniejoly starts at 1 p.m. ET today. Dean @Mawoodin will make opening remarks. 

There is still time to register: https://t.co/hCEs7sQcKz https://t.co/mBcSCquDjZ",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://bit.ly/3wcK2JN ,0,3,photo,https://pbs.twimg.com/media/FN_A47lXwAE2za_.jpg,https://pbs.twimg.com/media/FNQIQHiUYAIQX8y.jpg
U of T Arts & Science Registrar,University of Toronto,,,,,,,,,,35,,2022-03-18T15:01:01.000Z,Fri Mar 18 15:01:01 +0000 2022,0,"RT @ArtSciRegistrar : Today's the last day to register with accommodated testing services if you require accommodation for your final assessments and exams in April. 

Register here ?? https://t.co/rFMZ4J9qZ2 
@UofTArtSci @UofTStudentLife https://t.co/yokL7T5PLi",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://lsm.utoronto.ca/ats/ https://twitter.com/ArtSciRegistrar/status/1501560160518656005 ,0,2,,,https://pbs.twimg.com/media/FNQYV7zXEAE3KBN.jpg
